condition_id,repeat_index,iteration,winner_score,winner_aesthetic,winner_novelty,distinct_commands,nesting_depth,color_changes,code_length,spatial_entropy,fill_ratio,symmetry_score,num_variants_generated,num_variants_valid,model_used,modifier_latency_ms,critic_latency_ms
s1__t2__gpt_5_4_mini__m5v2di,1,3,7.5,5,5,3,0,0,43,1.9478,0.5879,0.915,3,3,gpt-5.4-mini,1295,2149
s1__t2__gpt_5_4_mini__m5v2di,1,4,6.5,5,3,3,0,0,43,2.0377,0.5991,0.9494,3,3,gpt-5.4-mini,1026,2977
s1__t2__gpt_5_4_mini__m5v2di,1,5,12,8,8,3,0,0,115,1.1905,0.0279,0.971,3,3,gpt-5.4-mini,1180,1992
s1__t2__gpt_5_4_mini__m5v2di,1,6,4,2,4,6,0,1,182,1.1839,0.0287,0.9624,3,3,gpt-5.4-mini,1668,2375
s1__t2__gpt_5_4_mini__m5v2di,1,7,11.5,8,7,6,0,1,210,1.202,0.0239,0.9621,3,3,gpt-5.4-mini,1817,1895
s1__t2__gpt_5_4_mini__m5v2di,1,8,9,8,2,6,0,1,269,1.0451,0.0219,0.9649,3,3,gpt-5.4-mini,1853,2070
s1__t2__gpt_5_4_mini__m5v2di,1,9,12.5,9,7,6,0,1,268,1.2518,0.0278,0.9553,3,3,gpt-5.4-mini,2019,1852
s1__t2__gpt_5_4_mini__m5v2di,1,10,7,7,0,6,0,1,268,1.2518,0.0278,0.9553,3,3,gpt-5.4-mini,1715,1844
s1__t2__gpt_5_4_mini__m5v2di,1,11,9,8,2,7,0,1,329,1.1814,0.0285,0.9542,3,3,gpt-5.4-mini,2952,2091
s1__t2__gpt_5_4_mini__m5v2di,1,12,11,9,4,7,0,1,330,1.1246,0.0244,0.9611,3,3,gpt-5.4-mini,2148,2221
s1__t2__gpt_5_4_mini__m5v2di,1,13,9.5,8,3,7,0,1,332,0.9843,0.0231,0.9636,3,3,gpt-5.4-mini,2445,1894
s1__t2__gpt_5_4_mini__m5v2di,1,14,9,7,4,7,0,1,335,0.9552,0.0216,0.965,3,3,gpt-5.4-mini,2111,2111
s1__t2__gpt_5_4_mini__m5v2di,1,15,8,7,2,7,0,1,450,1.0167,0.022,0.9643,3,3,gpt-5.4-mini,2625,2297
s1__t2__gpt_5_4_mini__m5v2di,2,1,4,2,4,2,0,0,24,1.9817,0.11,0.8614,3,3,gpt-5.4-mini,919,1911
s1__t2__gpt_5_4_mini__m5v2di,2,2,11.5,8,7,3,0,0,31,1.2697,0.0391,0.9979,3,3,gpt-5.4-mini,912,2013
s1__t2__gpt_5_4_mini__m5v2di,2,3,2,2,0,3,0,0,31,1.2697,0.0391,0.9979,3,3,gpt-5.4-mini,1001,2000
s1__t2__gpt_5_4_mini__m5v2di,2,4,12,8,8,7,0,1,155,1.5539,0.0474,0.9582,3,3,gpt-5.4-mini,1728,2251
s1__t2__gpt_5_4_mini__m5v2di,2,5,10,8,4,7,0,1,156,1.4523,0.0473,0.9599,3,3,gpt-5.4-mini,1628,1646
s1__t2__gpt_5_4_mini__m5v2di,2,6,9.5,8,3,7,0,1,156,1.4646,0.0494,0.9581,3,3,gpt-5.4-mini,1589,2351
